sample code	# GFP pos cells	# GFP pos cells	%GFP
5_5_BL_L_a	2112		
5_5_BL_L_b	2112		
2_6_BL_L_a	11387		
2_6_BL_L_b	11387		
2_6_BL_M_a	506		
2_6_BL_M_b	506		
1_6_BL_L_a	2029		
1_6_BL_L_b	2029		
1_6_BL_M_a	99		
1_6_BL_M_b	99		
3_6_BL_L_a	1790		
3_6_BL_L_b	1790		
3_6_BL_M_a	127		
3_6_BL_M_b	127		
4_6_BL_L_a	9225		
4_6_BL_L_b	9225		
4_6_BL_M_a	157		
4_6_BL_M_b	157		
2_7_BL_L_a	8452		
2_7_BL_L_b	8452		
2_7_BL_M_a	122		
2_7_BL_M_b	122		
1_7_BL_L_a	2393		
1_7_BL_L_b	2393		
1_7_BL_M_a	57		
1_7_BL_M_b	57		
3_7_BL_L_a	3159		
3_7_BL_L_b	3159		
3_7_BL_M_a	100		
3_7_BL_M_b	100		
4_7_BL_L_a	1118		
4_7_BL_L_b	1118		
4_7_BL_M_a	51		
4_7_BL_M_b	51		
2_8_BL_L_a	4990		
2_8_BL_L_b	4990		
2_8_BL_M_a	68		
2_8_BL_M_b	68		
1_8_BL_L_a	9992		
1_8_BL_L_b	9992		
1_8_BL_M_a	174		
1_8_BL_M_b	174		
3_8_BL_L_a	4144		
3_8_BL_L_b	4144		
3_8_BL_M_a	90		
3_8_BL_M_b	90		
4_8_BL_L_a	1101		
4_8_BL_L_b	1101		
4_8_BL_M_a	58		
4_8_BL_M_b	58		
2_9_BL_L_a	2098		
2_9_BL_L_b	2098		
2_9_BL_M_a	54		
2_9_BL_M_b	54		
1_9_BL_L_a	4821		
1_9_BL_L_b	4821		
1_9_BL_M_a	197		
1_9_BL_M_b	197		
3_9_BL_L_a	3696		
3_9_BL_L_b	3696		
3_9_BL_M_a	277		
3_9_BL_M_b	277		
4_9_BL_L_a	8354		
4_9_BL_L_b	8354		
4_9_BL_M_a	354		
4_9_BL_M_b	354		
2_10_BL_L_a	8757		
2_10_BL_L_b	8757		
2_10_BL_M_a	112		
2_10_BL_M_b	112		
1_10_BL_L_a	12906		
1_10_BL_L_b	12906		
1_10_BL_M_a	342		
1_10_BL_M_b	342		
3_10_BL_L_a	10166		
3_10_BL_L_b	10166		
3_10_BL_M_a	330		
3_10_BL_M_b	330		
4_10_BL_L_a	20446		
4_10_BL_L_b	20446		
4_10_BL_M_a	386		
4_10_BL_M_b	386		
2_11_BL_L_a	5147		
2_11_BL_L_b	5147		
2_11_BL_M_a	328		
2_11_BL_M_b	328		
1_11_BL_L_a	7415		
1_11_BL_L_b	7415		
1_11_BL_M_a	364		
1_11_BL_M_b	364		
3_11_BL_L_a	6387		
3_11_BL_L_b	6387		
3_11_BL_M_a	365		
3_11_BL_M_b	365		
4_11_BL_L_a	7710		
4_11_BL_L_b	7710		
4_11_BL_M_a	346		
4_11_BL_M_b	346		
