month	mouse	ID	GFP	B	T	CD19negCD3posCD11bpos	M	CD19negCD3negCD11bneg	numb
10	5	70: 931-24092014_TUBE_007 Mouse 1199334.fcs	GFP+	64.4	3.55	3.28	11.6	0.99	13665
10	mock3	71: 931-24092014_TUBE_008 Mouse 1199335.fcs	GFP+	53.8	1.97	1.97	7.21	3.93	305
11	mock1	48: 931-22102014_Mouse 1177160.fcs	GFP+	73.3	8.05	0.73	1.3	4.26	1925
11	1	49: 931-22102014_Mouse 1186366.fcs	GFP+	46.7	9.85	0.31	23.8	2.38	23037
11	2	50: 931-22102014_Mouse 1186367.fcs	GFP+	56.6	2.88	0.23	16.7	6.47	31552
11	mock2	51: 931-22102014_Mouse 1189248.fcs	GFP+	57.7	22.5	1.06	3.29	2.26	2830
11	3	52: 931-22102014_Mouse 1189249.fcs	GFP+	49.9	2.73	0.67	19.2	7.17	30453
11	4	53: 931-22102014_Mouse 1189250.fcs	GFP+	59.8	3.71	0.28	19.7	1.4	27569
11	5	54: 931-22102014_Mouse 1199334.fcs	GFP+	35.2	3.48	1.66	30.7	3.72	16175
11	mock3	55: 931-22102014_Mouse 1199335.fcs	GFP+	57.2	7.36	0.8	10.3	6.87	14440
12	mock1	8: 931-18112014_Mouse 1177160.fcs	GFP+	82.1	3.78	0.37	0.65	4.33	1085
12	1	9: 931-18112014_Mouse 1186366.fcs	GFP+	68.4	1.57	0.22	7.61	5.88	25290
12	2	10: 931-18112014_Mouse 1186367.fcs	GFP+	76.6	2.05	0.15	6.23	4.15	26152
12	mock2	11: 931-18112014_Mouse 1189248.fcs	GFP+	70.8	13.6	1.08	1.55	3.95	2127
12	3	12: 931-18112014_Mouse 1189249.fcs	GFP+	65.7	3.38	0.57	12.2	3.56	14909
12	4	13: 931-18112014_Mouse 1189250.fcs	GFP+	81.6	1.86	0.2	5.02	2.27	14010
12	5	14: 931-18112014_Mouse 1199334.fcs	GFP+	48.7	2.42	1.13	17.5	6.45	11993
12	mock3	15: 931-18112014_Mouse 1199335.fcs	GFP+	70.9	4.44	0.55	3.85	4.94	5137
13	mock1	1: 931-17122014_Mouse 1177160.fcs	GFP+	57	10.2	1.43	1.29	1.58	698
13	1	2: 931-17122014_Mouse 1186366.fcs	GFP+	51.3	1.97	0.51	18.4	2.33	18414
13	2	3: 931-17122014_Mouse 1186367.fcs	GFP+	23.2	5.72	1.68	22.9	1.43	1959
13	mock2	4: 931-17122014_Mouse 1189248.fcs	GFP+	52.7	13.6	2.07	3.69	2.46	1302
