"15_BM_M"	"15_BM_MP"	"15_SP_M"	"15_BM_LSK"	"d$Pgen"	"mouse"
954.590152678839	67.6955968980451	128.834003468008	0	9.80451e-05	1
311.476672727966	0	0	0	0.000490151	1
940.238469486495	170.154925845413	0	0	6.69963e-05	1
0	33.1341935006107	0	0	5.45072e-05	1
0	17.3111655006327	0	12.8027802586105	0.000469129	1
184.960484400655	0	0	0	0.000492363	1
717.863948220403	22.2693361003415	0	0	0.000139609	1
0	22.7407604556253	0	13.4467618344565	0.000622165	1
2198.30350678884	69.8128268886963	0	0	0.000650549	1
858.341540993191	79.8923204693662	0	0	0.000339466	1
753.463894906628	0	0	0	0.000461377	1
307.591840229158	49.039745923182	0	0	1.03256e-05	1
234.632288601749	0	0	0	0.000147627	1
0	23.6804321453569	0	8.70443653590186	0.000229077	1
0	0	0	6.77684347615223	5.96047e-05	1
0	30.0575929149308	0	6.72209146440751	0.000168697	1
1098.85188385382	0	0	0	4.03323e-05	1
1449.24978050692	63.0804975663999	0	0	0.000416593	1
3812.5900695462	263.350110357249	77.5783669578532	9.89174166875385	0.00113418	1
1788.63794333576	166.435135328873	0	0	0.00119898	1
0	35.1475559480666	0	0	0.000378445	1
0	43.9725180572966	0	0	0.000654519	1
592.190328585404	153.688703815901	0	16.2357847651426	0.000420046	1
359.237086019191	50.350774920423	0	0	0.000937248	1
0	16.2513260831528	0	0	8.13764e-05	1
285.899998213889	0	0	0	9.63401e-05	1
0	26.8689770530162	0	0	9.59823e-05	1
398.048479839296	0	0	0	2.92706e-05	1
781.786311744008	0	0	0	6.62277e-05	1
1122.98495014501	45.4978233250826	0	0	2.11128e-05	1
583.251359415393	56.7715358706564	0	0	0.00011576	1
3189.18259307608	125.860141475682	0	11.8711588911167	1.25962e-07	1
862.036484796661	40.8465780466767	0	0	3.11168e-05	1
0	0	0	8.09154878562987	0.000648069	1
1350.08153559348	76.0819204341399	0	0	0.000620893	1
0	24.8807950382771	0	0	0.000158428	1
2069.33085487117	77.956618093706	135.941422504118	9.70725731514971	0.000308112	1
488.110390989401	24.8515947894619	0	0	6.86691e-05	1
374.333122354095	0	0	0	0.000235414	1
1164.15937824299	44.7385158513537	0	0	0.000113638	1
0	93.429815370449	0	14.4796388064033	0.000413807	1
1270.79482384357	249.344102307477	0	0	6.98323e-05	1
7228.83086793161	101.630579599296	0	13.7858206295409	0.000555571	1
1293.30568734072	25.4199429993453	0	0	2.2155e-05	1
0	0	0	7.18303834546901	0.000326952	1
305.315619613926	0	0	0	0.000633365	1
0	24.6333711865792	0	0	8.53697e-07	1
404.00377551191	0	0	0	0.000134343	1
779.219797860333	106.491572746212	0	0	1.20537e-05	1
0	49.3785023217596	0	0	0.000190837	1
485.675354921342	0	0	0	5.41669e-05	1
0	0	0	4.54947106122963	4.31367e-05	1
381.419685878527	45.5857570412543	0	0	0.000301184	1
658.879759380588	79.8909655892989	0	0	0.000159512	1
1075.42816317656	0	0	0	3.48377e-06	1
1008.31588156262	61.0953876506252	0	0	1.29245e-05	1
757.937579800981	23.2848798286709	0	0	1.52114e-05	1
5338.12896214952	232.738711212746	95.2116959430076	0	0.000184061	1
0	38.6039173717775	0	38.3646252543905	0.000120418	1
2212.56037689671	79.1593231196422	0	27.2400588580721	1.48703e-05	1
0	0	0	0	4.60453e-05	2
0	0	0	0	9.80451e-05	2
0	0	0	0	0.000192415	2
0	0	0	0	0.000490151	2
0	0	0	0	6.69963e-05	2
0	0	0	0	6.76797e-05	2
0	0	0	0	5.93969e-05	2
999.434014982496	66.5213479516967	0	0	0.000111717	2
0	0	0	0	0.000392711	2
0	0	0	0	6.86384e-05	2
0	0	0	0	5.11582e-06	2
0	0	0	0	2.27428e-05	2
0	0	0	0	6.76515e-05	2
0	0	0	0	3.44879e-06	2
1704.79304607858	44.6528109034132	0	0	0.000160216	2
0	0	0	0	0.000125697	2
0	61.129685451799	0	0	8.7375e-05	2
0	0	0	0	5.45072e-05	2
0	0	0	0	0.000469129	2
0	0	0	0	0.000492363	2
0	0	0	0	0.000139609	2
0	0	0	0	0.000408434	2
379.066587615106	0	0	0	0.000113766	2
370.684008024137	0	0	0	0.000622165	2
0	0	0	0	0.000650549	2
0	0	0	0	0.000199369	2
0	0	0	0	0.000339466	2
0	0	0	0	0.000436376	2
0	0	0	0	0.000161521	2
0	0	0	0	0.000461377	2
